,Image,Title,Directors,Rating,Description,Genre
6641,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Half Nelson, Ryan Fleck ,7.1,An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.,Drama
6642,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,A propósito de Schmidt, Alexander Payne ,7.2,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",Drama
6643,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cometas en el cielo, Marc Forster ,7.6,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",Drama
6644,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Black Mirror: Bandersnatch, David Slade ,7.1,A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,Drama
6645,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Black Mirror: Bandersnatch, David Slade ,7.1,A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,Mystery
6646,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Black Mirror: Bandersnatch, David Slade ,7.1,A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,Fantasy
6647,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Caché. Escondido, Michael Haneke ,7.3,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,Drama
6648,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Caché. Escondido, Michael Haneke ,7.3,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,Thriller
6649,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Caché. Escondido, Michael Haneke ,7.3,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,Mystery
6650,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El rito, Mikael Håfström ,6.0,American seminary student Michael Kovak travels to Italy to take an exorcism course.,Drama
6651,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El rito, Mikael Håfström ,6.0,American seminary student Michael Kovak travels to Italy to take an exorcism course.,Mystery
6652,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El rito, Mikael Håfström ,6.0,American seminary student Michael Kovak travels to Italy to take an exorcism course.,Horror
6653,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Fresas salvajes, Ingmar Bergman ,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Drama
6654,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Fresas salvajes, Ingmar Bergman ,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Romance
6655,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Street Dance, Jon M. Chu ,6.2,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,Drama
6656,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Street Dance, Jon M. Chu ,6.2,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,Music
